Experiment,Val,Trial,Reward,Steps,RunTime
learning_rates,0.002,0,-142.13566380477286,113,11192.0
learning_rates,0.002,1,-443.71718157706925,98,11192.0
learning_rates,0.002,2,-277.77415879847064,117,11192.0
learning_rates,0.002,3,-797.9712987896489,96,11192.0
learning_rates,0.002,4,-421.8391340979235,122,11192.0
learning_rates,0.002,5,-369.9296677097532,132,11192.0
learning_rates,0.002,6,-792.779368811327,91,11192.0
learning_rates,0.002,7,-341.70904439958997,118,11192.0
learning_rates,0.002,8,-239.56009481127188,117,11192.0
learning_rates,0.002,9,-220.29300403152354,108,11192.0
learning_rates,0.002,10,-213.4794830886897,91,11192.0
learning_rates,0.002,11,-163.49303681699774,137,11192.0
learning_rates,0.002,12,-331.89145310564226,115,11192.0
learning_rates,0.002,13,-210.00303201145323,147,11192.0
learning_rates,0.002,14,-274.73139660384624,137,11192.0
learning_rates,0.002,15,-193.57216348300284,133,11192.0
learning_rates,0.002,16,-389.0720709626005,79,11192.0
learning_rates,0.002,17,-256.6615743431297,194,11192.0
learning_rates,0.002,18,-139.20735440887938,1000,11192.0
learning_rates,0.002,19,-78.17698806296794,244,11192.0
learning_rates,0.002,20,-321.74136565482877,439,11192.0
learning_rates,0.002,21,-151.41752656208752,814,11192.0
learning_rates,0.002,22,-112.51662623779805,267,11192.0
learning_rates,0.002,23,-232.16023132149203,363,11192.0
learning_rates,0.002,24,-300.30247867999896,472,11192.0
learning_rates,0.002,25,-242.99208443101824,309,11192.0
learning_rates,0.002,26,-208.00908800315682,236,11192.0
learning_rates,0.002,27,-247.28909925143,270,11192.0
learning_rates,0.002,28,-106.33907531139538,322,11192.0
learning_rates,0.002,29,-124.99378893811337,269,11192.0
learning_rates,0.002,30,-143.98524915907964,242,11192.0
learning_rates,0.002,31,-62.230779418908874,241,11192.0
learning_rates,0.002,32,-114.90243586239393,239,11192.0
learning_rates,0.002,33,-97.17088151515101,201,11192.0
learning_rates,0.002,34,-154.67197656433217,174,11192.0
learning_rates,0.002,35,-298.9408676918247,208,11192.0
learning_rates,0.002,36,-74.71875841720066,468,11192.0
learning_rates,0.002,37,-198.2326879027812,347,11192.0
learning_rates,0.002,38,-157.89036219994944,323,11192.0
learning_rates,0.002,39,-192.07161861628032,306,11192.0
learning_rates,0.002,40,-237.02968116931837,389,11192.0
learning_rates,0.002,41,-146.6630956151127,191,11192.0
learning_rates,0.002,42,-121.57195777163099,240,11192.0
learning_rates,0.002,43,-38.64765096621626,190,11192.0
learning_rates,0.002,44,-14.965889123374126,461,11192.0
learning_rates,0.002,45,-108.14281199679502,223,11192.0
learning_rates,0.002,46,-169.00598562792686,317,11192.0
learning_rates,0.002,47,-141.65170584985145,327,11192.0
learning_rates,0.002,48,-175.16534091951286,566,11192.0
learning_rates,0.002,49,-54.61012397073694,313,11192.0
learning_rates,0.002,50,-164.65104899348796,326,11192.0
