Experiment,Val,Trial,Reward,Steps,RunTime
learning_rates,0.0001,0,-494.8394767587219,115,9412.0
learning_rates,0.0001,1,-627.7369972935365,117,9412.0
learning_rates,0.0001,2,-119.83105464223203,151,9412.0
learning_rates,0.0001,3,-277.70763683779234,73,9412.0
learning_rates,0.0001,4,-88.56925725582715,148,9412.0
learning_rates,0.0001,5,-160.524475976289,75,9412.0
learning_rates,0.0001,6,-122.02647652598185,217,9412.0
learning_rates,0.0001,7,-205.26976806706,140,9412.0
learning_rates,0.0001,8,-345.0098689558065,269,9412.0
learning_rates,0.0001,9,-50.37635323561277,139,9412.0
learning_rates,0.0001,10,-56.40080994173557,187,9412.0
learning_rates,0.0001,11,-315.688837256712,102,9412.0
learning_rates,0.0001,12,-430.87194109982835,120,9412.0
learning_rates,0.0001,13,-396.4333721526235,146,9412.0
learning_rates,0.0001,14,-218.55686854773887,424,9412.0
learning_rates,0.0001,15,-323.06414027462404,549,9412.0
learning_rates,0.0001,16,-447.370430254655,545,9412.0
learning_rates,0.0001,17,-256.4043711455806,544,9412.0
learning_rates,0.0001,18,-422.77989655428206,364,9412.0
learning_rates,0.0001,19,-189.8113495983477,335,9412.0
learning_rates,0.0001,20,-206.22282155771762,445,9412.0
learning_rates,0.0001,21,-229.96666977220252,67,9412.0
learning_rates,0.0001,22,-230.06061916123736,184,9412.0
learning_rates,0.0001,23,-257.6476176079941,286,9412.0
learning_rates,0.0001,24,-107.89844249968635,154,9412.0
learning_rates,0.0001,25,-324.4090381441922,415,9412.0
learning_rates,0.0001,26,-436.33593349296547,311,9412.0
learning_rates,0.0001,27,-161.30809838626578,283,9412.0
learning_rates,0.0001,28,-144.12252933052142,549,9412.0
learning_rates,0.0001,29,-218.3605415276557,377,9412.0
learning_rates,0.0001,30,-192.1788579122558,499,9412.0
learning_rates,0.0001,31,-211.03010204885243,216,9412.0
learning_rates,0.0001,32,-281.80163976508436,315,9412.0
learning_rates,0.0001,33,-174.98991952507095,484,9412.0
learning_rates,0.0001,34,-318.81218993093216,326,9412.0
