Experiment,Val,Trial,Reward,Steps,RunTime
epsilon_decay,1.0,0,-96.7674980271855,109,13892.0
epsilon_decay,1.0,1,-350.5052003526139,71,13892.0
epsilon_decay,1.0,2,-276.12151735532535,98,13892.0
epsilon_decay,1.0,3,-354.91959933541466,174,13892.0
epsilon_decay,1.0,4,-240.6250439073644,124,13892.0
epsilon_decay,1.0,5,-239.67656477647438,100,13892.0
epsilon_decay,1.0,6,-380.8133623317977,180,13892.0
epsilon_decay,1.0,7,-90.39434685829595,138,13892.0
epsilon_decay,1.0,8,-220.5743026287592,154,13892.0
epsilon_decay,1.0,9,-472.5728255326385,303,13892.0
epsilon_decay,1.0,10,-393.28888423266733,170,13892.0
epsilon_decay,1.0,11,-453.16571777963117,180,13892.0
epsilon_decay,1.0,12,-406.23099222011024,250,13892.0
epsilon_decay,1.0,13,-326.7842007596192,592,13892.0
epsilon_decay,1.0,14,-235.59141887207406,263,13892.0
epsilon_decay,1.0,15,-38.800482387657226,193,13892.0
epsilon_decay,1.0,16,-91.6289864818888,206,13892.0
epsilon_decay,1.0,17,-180.31608377400886,218,13892.0
epsilon_decay,1.0,18,-189.47778261073458,144,13892.0
epsilon_decay,1.0,19,-304.0440016131629,812,13892.0
epsilon_decay,1.0,20,-267.21814989841937,408,13892.0
epsilon_decay,1.0,21,-257.7111137543548,343,13892.0
epsilon_decay,1.0,22,-226.48822700298552,247,13892.0
epsilon_decay,1.0,23,-117.90989988372776,269,13892.0
epsilon_decay,1.0,24,-313.6790124877071,135,13892.0
epsilon_decay,1.0,25,-262.6396176121642,332,13892.0
epsilon_decay,1.0,26,-199.54485554690797,233,13892.0
epsilon_decay,1.0,27,-239.66570614677187,388,13892.0
epsilon_decay,1.0,28,-201.19104130920118,183,13892.0
epsilon_decay,1.0,29,-210.61995511703677,240,13892.0
epsilon_decay,1.0,30,-36.59003157665913,271,13892.0
epsilon_decay,1.0,31,-57.522870720336904,232,13892.0
epsilon_decay,1.0,32,-365.6768961442791,205,13892.0
epsilon_decay,1.0,33,-296.5033298102278,298,13892.0
epsilon_decay,1.0,34,-258.988263357631,169,13892.0
epsilon_decay,1.0,35,-238.45150647848322,288,13892.0
epsilon_decay,1.0,36,-305.71740467684805,161,13892.0
epsilon_decay,1.0,37,-279.9523141595209,246,13892.0
epsilon_decay,1.0,38,-171.42348136092696,184,13892.0
epsilon_decay,1.0,39,-415.07390090819575,153,13892.0
epsilon_decay,1.0,40,-50.607325511830894,265,13892.0
epsilon_decay,1.0,41,-216.32506213655353,217,13892.0
epsilon_decay,1.0,42,-218.5827779786119,165,13892.0
epsilon_decay,1.0,43,-147.3878090918467,259,13892.0
epsilon_decay,1.0,44,-223.92317171843266,337,13892.0
epsilon_decay,1.0,45,-291.56115014603387,364,13892.0
epsilon_decay,1.0,46,-278.30277313516797,231,13892.0
epsilon_decay,1.0,47,-252.27175657455416,377,13892.0
epsilon_decay,1.0,48,-324.97522549962207,181,13892.0
epsilon_decay,1.0,49,-71.84331261140056,410,13892.0
epsilon_decay,1.0,50,-245.42484793090796,300,13892.0
epsilon_decay,1.0,51,-229.3516985428296,250,13892.0
epsilon_decay,1.0,52,-286.0926235708741,354,13892.0
epsilon_decay,1.0,53,-60.99972205812351,455,13892.0
epsilon_decay,1.0,54,-160.97661339500405,1000,13892.0
epsilon_decay,1.0,55,-256.1743561782571,443,13892.0
epsilon_decay,1.0,56,-258.8751651530898,360,13892.0
epsilon_decay,1.0,57,-330.2064817332673,578,13892.0
epsilon_decay,1.0,58,-277.5690110946432,396,13892.0
epsilon_decay,1.0,59,-250.36060879011842,359,13892.0
epsilon_decay,1.0,60,-403.4366992475805,660,13892.0
epsilon_decay,1.0,61,-252.381539503714,237,13892.0
epsilon_decay,1.0,62,-209.7741116707253,372,13892.0
epsilon_decay,1.0,63,-77.27488332282454,339,13892.0
epsilon_decay,1.0,64,-347.8464879280941,332,13892.0
epsilon_decay,1.0,65,-139.48680071516472,1000,13892.0
