Experiment,Val,Trial,Reward,Steps,RunTime
Gamma,0.8,0,-211.53852338424582,67,10939.0
Gamma,0.8,1,-259.8292469771392,75,10939.0
Gamma,0.8,2,-112.47225369751094,120,10939.0
Gamma,0.8,3,-112.55220596380684,104,10939.0
Gamma,0.8,4,-484.45067651214646,123,10939.0
Gamma,0.8,5,-119.98831691685322,265,10939.0
Gamma,0.8,6,-292.0047078029994,731,10939.0
Gamma,0.8,7,-243.7972822547123,147,10939.0
Gamma,0.8,8,-163.7254391678967,146,10939.0
Gamma,0.8,9,-428.63558605828825,106,10939.0
Gamma,0.8,10,-275.30963232851883,120,10939.0
Gamma,0.8,11,-253.91209141198286,98,10939.0
Gamma,0.8,12,-166.3731364053716,133,10939.0
Gamma,0.8,13,-184.93785043694993,123,10939.0
Gamma,0.8,14,-245.67719451546878,91,10939.0
Gamma,0.8,15,-239.58074175095513,182,10939.0
Gamma,0.8,16,-319.0138014594312,211,10939.0
Gamma,0.8,17,-266.7677147675178,221,10939.0
Gamma,0.8,18,-178.2918422870122,249,10939.0
Gamma,0.8,19,-215.34067321485756,111,10939.0
Gamma,0.8,20,-210.04507214175635,220,10939.0
Gamma,0.8,21,-148.0762505167715,272,10939.0
Gamma,0.8,22,-73.16994650543589,186,10939.0
Gamma,0.8,23,-109.09524893352418,218,10939.0
Gamma,0.8,24,-147.79656669390175,184,10939.0
Gamma,0.8,25,-288.5835011837636,200,10939.0
Gamma,0.8,26,-275.2202791524701,183,10939.0
Gamma,0.8,27,-22.586618913806603,359,10939.0
Gamma,0.8,28,-251.16105479354084,219,10939.0
Gamma,0.8,29,-75.06600406550474,249,10939.0
Gamma,0.8,30,-259.3945130196249,193,10939.0
Gamma,0.8,31,-280.5587613233766,286,10939.0
Gamma,0.8,32,-200.7924197528697,239,10939.0
Gamma,0.8,33,-105.11517400022596,267,10939.0
Gamma,0.8,34,-179.52564991882141,195,10939.0
Gamma,0.8,35,-258.1496307598045,242,10939.0
Gamma,0.8,36,-225.28671165701112,236,10939.0
Gamma,0.8,37,-229.34963755866193,206,10939.0
Gamma,0.8,38,-93.13503507648521,332,10939.0
Gamma,0.8,39,-38.01993471715164,227,10939.0
Gamma,0.8,40,-78.74400756655118,337,10939.0
Gamma,0.8,41,-199.43734600044198,240,10939.0
Gamma,0.8,42,-117.93981215397697,281,10939.0
Gamma,0.8,43,-53.150508072938194,166,10939.0
Gamma,0.8,44,-197.15590208065913,210,10939.0
Gamma,0.8,45,220.39577467995628,525,10939.0
Gamma,0.8,46,-38.81364024344348,217,10939.0
Gamma,0.8,47,-59.80846740912836,216,10939.0
Gamma,0.8,48,-4.888020214882729,312,10939.0
Gamma,0.8,49,-196.3627822698065,199,10939.0
Gamma,0.8,50,-54.77481017661839,274,10939.0
Gamma,0.8,51,-67.22161397203146,212,10939.0
Gamma,0.8,52,-47.27351976831525,244,10939.0
Gamma,0.8,53,-68.67417620543253,162,10939.0
Gamma,0.8,54,-171.59554014043562,243,10939.0
Gamma,0.8,55,-299.0888514988069,516,10939.0
Gamma,0.8,56,-202.56372331557418,356,10939.0
Gamma,0.8,57,-309.851395333036,961,10939.0
Gamma,0.8,58,-124.48171002630102,289,10939.0
Gamma,0.8,59,-196.04576885492008,237,10939.0
Gamma,0.8,60,-73.2511054429998,160,10939.0
Gamma,0.8,61,-304.6453125643386,163,10939.0
Gamma,0.8,62,-238.97367993935745,145,10939.0
Gamma,0.8,63,-75.10278819402318,259,10939.0
Gamma,0.8,64,52.143857453024765,246,10939.0
Gamma,0.8,65,-365.19537833470406,144,10939.0
Gamma,0.8,66,21.437820108288875,250,10939.0
Gamma,0.8,67,-271.1806406038094,1000,10939.0
Gamma,0.8,68,-162.6765033722476,468,10939.0
Gamma,0.8,69,-95.16425511130113,273,10939.0
Gamma,0.8,70,-66.75616979917007,210,10939.0
Gamma,0.8,71,-295.43158307215117,249,10939.0
Gamma,0.8,72,-145.5637744139324,261,10939.0
Gamma,0.8,73,-75.83491103062634,1000,10939.0
Gamma,0.8,74,-34.95914876815391,277,10939.0
Gamma,0.8,75,-167.52175375004455,1000,10939.0
Gamma,0.8,76,-189.69502736401682,255,10939.0
Gamma,0.8,77,-179.3561228846006,173,10939.0
Gamma,0.8,78,-207.2290914006844,569,10939.0
Gamma,0.8,79,-226.43672396213316,342,10939.0
Gamma,0.8,80,-95.48103975735586,705,10939.0
Gamma,0.8,81,34.31791260492642,267,10939.0
Gamma,0.8,82,-47.99798443523202,413,10939.0
Gamma,0.8,83,-198.07630208056275,228,10939.0
Gamma,0.8,84,-199.27916355090167,258,10939.0
Gamma,0.8,85,-138.9599999181914,442,10939.0
Gamma,0.8,86,-63.92706523981531,221,10939.0
Gamma,0.8,87,-148.88438121870857,356,10939.0
Gamma,0.8,88,-44.91066092436739,403,10939.0
Gamma,0.8,89,-183.14437714894322,275,10939.0
Gamma,0.8,90,-40.43493051027515,349,10939.0
Gamma,0.8,91,-56.39992436014226,339,10939.0
Gamma,0.8,92,-275.71793283674134,494,10939.0
Gamma,0.8,93,-149.422711911316,1000,10939.0
Gamma,0.8,94,-134.30365001915683,927,10939.0
Gamma,0.8,95,-56.15847781069364,343,10939.0
Gamma,0.8,96,-128.79971620477127,1000,10939.0
Gamma,0.8,97,-33.35275909064262,1000,10939.0
Gamma,0.8,98,-47.631298351695165,539,10939.0
Gamma,0.8,99,-70.32438345874971,341,10939.0
Gamma,0.8,100,-149.8899247008845,1000,10939.0
Gamma,0.8,101,-102.92664707752519,1000,10939.0
