Experiment,Val,Trial,Reward,Steps,RunTime
Gamma,0.9,0,-254.05453642476326,76,13845.0
Gamma,0.9,1,-221.54388052204314,99,13845.0
Gamma,0.9,2,-410.3779556094606,110,13845.0
Gamma,0.9,3,-72.7453397347429,260,13845.0
Gamma,0.9,4,-260.82919226598034,221,13845.0
Gamma,0.9,5,-451.45920652544044,80,13845.0
Gamma,0.9,6,-356.71670028524323,173,13845.0
Gamma,0.9,7,-206.39451122391108,413,13845.0
Gamma,0.9,8,-307.9365219853655,277,13845.0
Gamma,0.9,9,-270.69659706574015,83,13845.0
Gamma,0.9,10,-264.51331417846063,252,13845.0
Gamma,0.9,11,-145.7730719393215,161,13845.0
Gamma,0.9,12,-246.39802616994461,193,13845.0
Gamma,0.9,13,-321.1931839578232,297,13845.0
Gamma,0.9,14,-141.7240763504584,195,13845.0
Gamma,0.9,15,-337.31825392435417,352,13845.0
Gamma,0.9,16,-204.8303266353584,116,13845.0
Gamma,0.9,17,-141.52563258566735,508,13845.0
Gamma,0.9,18,-315.29563549902514,454,13845.0
Gamma,0.9,19,-384.94268411140035,145,13845.0
Gamma,0.9,20,-318.1363270881073,112,13845.0
Gamma,0.9,21,-314.81095444168443,333,13845.0
Gamma,0.9,22,-196.9805169197798,167,13845.0
Gamma,0.9,23,-308.37936230620704,188,13845.0
Gamma,0.9,24,-51.85955039099916,184,13845.0
Gamma,0.9,25,-359.56900216790075,160,13845.0
Gamma,0.9,26,-393.1616816239351,175,13845.0
Gamma,0.9,27,-275.2867978378007,560,13845.0
Gamma,0.9,28,-170.56410994132804,193,13845.0
Gamma,0.9,29,-115.63020170065053,188,13845.0
Gamma,0.9,30,-119.6494804833835,109,13845.0
Gamma,0.9,31,-107.47809999400371,1000,13845.0
Gamma,0.9,32,-235.5438740713663,360,13845.0
Gamma,0.9,33,-313.42881403054434,456,13845.0
Gamma,0.9,34,-146.25929393789878,1000,13845.0
Gamma,0.9,35,-240.1829045085697,356,13845.0
Gamma,0.9,36,-251.96917228653666,352,13845.0
Gamma,0.9,37,-38.754052239656176,194,13845.0
Gamma,0.9,38,-156.52895972671288,486,13845.0
Gamma,0.9,39,-126.97552938933038,372,13845.0
Gamma,0.9,40,30.556519793889375,1000,13845.0
Gamma,0.9,41,-297.40093500139227,181,13845.0
Gamma,0.9,42,-99.7220396427668,260,13845.0
Gamma,0.9,43,-163.4606280451566,246,13845.0
Gamma,0.9,44,-208.52007259135036,220,13845.0
Gamma,0.9,45,-53.552354388820774,237,13845.0
Gamma,0.9,46,-157.30401623875184,573,13845.0
Gamma,0.9,47,-337.95759353973756,462,13845.0
Gamma,0.9,48,-8.01272108783779,178,13845.0
Gamma,0.9,49,9.447569642158072,191,13845.0
Gamma,0.9,50,-201.0018168130065,300,13845.0
Gamma,0.9,51,-64.7069341996644,268,13845.0
Gamma,0.9,52,-207.53830117652004,237,13845.0
Gamma,0.9,53,-29.537401919122814,1000,13845.0
Gamma,0.9,54,-43.98603380191206,349,13845.0
Gamma,0.9,55,-31.26650641616319,1000,13845.0
Gamma,0.9,56,-235.16415174476288,278,13845.0
Gamma,0.9,57,-58.53522903707923,606,13845.0
Gamma,0.9,58,-1.465099582597162,247,13845.0
Gamma,0.9,59,100.83429631902783,862,13845.0
Gamma,0.9,60,3.2991958466079874,1000,13845.0
Gamma,0.9,61,-175.86303631300066,219,13845.0
Gamma,0.9,62,-214.73047425959408,390,13845.0
Gamma,0.9,63,-40.858234551163854,428,13845.0
Gamma,0.9,64,-278.98324735830306,333,13845.0
Gamma,0.9,65,-113.26036991242921,397,13845.0
Gamma,0.9,66,-145.26848618652895,232,13845.0
Gamma,0.9,67,-210.9902778158014,382,13845.0
Gamma,0.9,68,14.058250998709894,1000,13845.0
Gamma,0.9,69,-258.1891158212888,281,13845.0
Gamma,0.9,70,-87.98764844147152,835,13845.0
Gamma,0.9,71,47.37177166182984,1000,13845.0
Gamma,0.9,72,-169.81888912804703,224,13845.0
Gamma,0.9,73,-259.6733987755316,338,13845.0
Gamma,0.9,74,-274.74871391879435,602,13845.0
Gamma,0.9,75,226.53205432726708,380,13845.0
Gamma,0.9,76,-234.34662211911794,479,13845.0
Gamma,0.9,77,-172.33958459597093,353,13845.0
Gamma,0.9,78,-229.18759078392878,379,13845.0
Gamma,0.9,79,242.50063059756047,434,13845.0
Gamma,0.9,80,-61.5999855624933,1000,13845.0
Gamma,0.9,81,195.38265924731132,348,13845.0
Gamma,0.9,82,-125.68514270243719,614,13845.0
Gamma,0.9,83,-72.4816999326087,514,13845.0
Gamma,0.9,84,-202.1160986562266,247,13845.0
Gamma,0.9,85,-279.84218136006064,610,13845.0
Gamma,0.9,86,208.96880897671426,811,13845.0
Gamma,0.9,87,-62.387468502877724,236,13845.0
Gamma,0.9,88,168.06021985522233,782,13845.0
Gamma,0.9,89,193.73549584272538,408,13845.0
Gamma,0.9,90,-286.9059774072175,492,13845.0
Gamma,0.9,91,-165.49660976260378,717,13845.0
Gamma,0.9,92,-20.061972570836026,1000,13845.0
Gamma,0.9,93,-10.859920938013119,322,13845.0
Gamma,0.9,94,117.21219482104732,816,13845.0
Gamma,0.9,95,-223.4038067397805,546,13845.0
Gamma,0.9,96,-186.40411098905554,371,13845.0
Gamma,0.9,97,206.13237613815375,535,13845.0
Gamma,0.9,98,-202.0219980335364,340,13845.0
Gamma,0.9,99,-142.47734648558048,1000,13845.0
Gamma,0.9,100,250.51088797507467,378,13845.0
Gamma,0.9,101,-45.271442750933744,303,13845.0
Gamma,0.9,102,200.69657889219985,723,13845.0
Gamma,0.9,103,210.22425330318237,481,13845.0
Gamma,0.9,104,-237.59292567924487,338,13845.0
Gamma,0.9,105,195.63595861129915,450,13845.0
Gamma,0.9,106,-160.37224217614113,1000,13845.0
Gamma,0.9,107,-167.03124245292116,1000,13845.0
Gamma,0.9,108,-127.00055452457931,1000,13845.0
Gamma,0.9,109,-202.3998432574578,218,13845.0
Gamma,0.9,110,-221.8810622536605,363,13845.0
Gamma,0.9,111,-160.2215074068981,301,13845.0
Gamma,0.9,112,-118.73073098331287,1000,13845.0
Gamma,0.9,113,230.47016156099602,521,13845.0
Gamma,0.9,114,200.4746476855424,557,13845.0
Gamma,0.9,115,114.85108122555111,866,13845.0
Gamma,0.9,116,-128.01573793508933,1000,13845.0
Gamma,0.9,117,-205.02785913936057,355,13845.0
Gamma,0.9,118,-161.30590156001514,1000,13845.0
Gamma,0.9,119,-149.57646664221537,1000,13845.0
Gamma,0.9,120,-100.01008970341402,1000,13845.0
Gamma,0.9,121,222.97595301464418,480,13845.0
Gamma,0.9,122,-96.17811505303355,1000,13845.0
Gamma,0.9,123,155.39155272272512,834,13845.0
Gamma,0.9,124,212.22997508922174,482,13845.0
Gamma,0.9,125,-54.66512813207453,1000,13845.0
Gamma,0.9,126,-6.593485413403821,1000,13845.0
Gamma,0.9,127,190.7329434250556,525,13845.0
Gamma,0.9,128,-146.23749693405819,1000,13845.0
Gamma,0.9,129,-71.1495636699425,1000,13845.0
Gamma,0.9,130,-109.46622562878423,1000,13845.0
Gamma,0.9,131,-6.747547384039933,265,13845.0
Gamma,0.9,132,-74.22517513294412,1000,13845.0
Gamma,0.9,133,-99.1802287082624,1000,13845.0
Gamma,0.9,134,240.88979297682425,786,13845.0
Gamma,0.9,135,-141.92868395754329,1000,13845.0
Gamma,0.9,136,-147.4715766540575,1000,13845.0
Gamma,0.9,137,-124.16463657231972,1000,13845.0
Gamma,0.9,138,-256.5327800802978,484,13845.0
Gamma,0.9,139,-151.0332582736855,1000,13845.0
Gamma,0.9,140,-53.11314959289466,529,13845.0
Gamma,0.9,141,-142.0148796461004,1000,13845.0
Gamma,0.9,142,-135.846071081861,1000,13845.0
Gamma,0.9,143,-85.94476936105946,1000,13845.0
Gamma,0.9,144,-117.89415001202161,1000,13845.0
Gamma,0.9,145,219.36943494151117,629,13845.0
Gamma,0.9,146,-154.63448988996566,1000,13845.0
Gamma,0.9,147,-130.5256123495862,1000,13845.0
Gamma,0.9,148,-96.34211059294127,1000,13845.0
Gamma,0.9,149,-116.72986581003863,1000,13845.0
Gamma,0.9,150,-79.66225498470965,1000,13845.0
Gamma,0.9,151,-150.91826140359942,1000,13845.0
Gamma,0.9,152,157.74238515543036,911,13845.0
Gamma,0.9,153,-105.94685185197254,1000,13845.0
Gamma,0.9,154,-84.40575721666649,1000,13845.0
Gamma,0.9,155,-120.80821740400017,1000,13845.0
Gamma,0.9,156,-119.83554589623854,1000,13845.0
Gamma,0.9,157,216.15316363064665,663,13845.0
Gamma,0.9,158,-167.79736113105298,1000,13845.0
Gamma,0.9,159,-111.52295513962885,1000,13845.0
Gamma,0.9,160,-161.58688309979,1000,13845.0
Gamma,0.9,161,-107.86527723595863,1000,13845.0
Gamma,0.9,162,-121.93174521352513,1000,13845.0
Gamma,0.9,163,-83.59068384846842,1000,13845.0
Gamma,0.9,164,-134.62032509850278,1000,13845.0
Gamma,0.9,165,-214.3216659266977,319,13845.0
Gamma,0.9,166,184.52643664545562,670,13845.0
Gamma,0.9,167,-58.04418751740982,1000,13845.0
Gamma,0.9,168,-107.77855594348365,1000,13845.0
Gamma,0.9,169,198.39974375998491,706,13845.0
Gamma,0.9,170,-121.70643819917859,1000,13845.0
Gamma,0.9,171,-165.30519814594413,1000,13845.0
Gamma,0.9,172,-123.08461866722227,1000,13845.0
Gamma,0.9,173,-139.81733452021285,1000,13845.0
Gamma,0.9,174,-106.73126199182599,1000,13845.0
Gamma,0.9,175,-98.08497987262774,1000,13845.0
Gamma,0.9,176,-82.04075774608354,1000,13845.0
Gamma,0.9,177,-68.58205167380255,1000,13845.0
Gamma,0.9,178,-100.63260304448158,1000,13845.0
Gamma,0.9,179,-79.90906107524131,1000,13845.0
Gamma,0.9,180,-124.46637089936975,1000,13845.0
