Experiment,Val,Trial,Reward,Steps,RunTime
learning_rates,0.001,0,10.564420365644935,128,11182.0
learning_rates,0.001,1,-243.86123107378307,89,11182.0
learning_rates,0.001,2,-121.73557370367143,216,11182.0
learning_rates,0.001,3,-246.66394531788401,226,11182.0
learning_rates,0.001,4,-191.26441970893768,177,11182.0
learning_rates,0.001,5,-127.74380874328713,290,11182.0
learning_rates,0.001,6,-827.9849370000269,88,11182.0
learning_rates,0.001,7,-363.83973077523933,98,11182.0
learning_rates,0.001,8,-415.10425464095124,73,11182.0
learning_rates,0.001,9,-173.2758932370429,135,11182.0
learning_rates,0.001,10,-262.26702991527657,146,11182.0
learning_rates,0.001,11,-170.25779986469703,100,11182.0
learning_rates,0.001,12,-361.3981121775106,140,11182.0
learning_rates,0.001,13,-18.662468757453567,122,11182.0
learning_rates,0.001,14,-359.7041725544458,121,11182.0
learning_rates,0.001,15,-374.3222055217446,116,11182.0
learning_rates,0.001,16,-340.58659286075095,152,11182.0
learning_rates,0.001,17,-381.6925030426073,133,11182.0
learning_rates,0.001,18,-189.43972829529173,383,11182.0
learning_rates,0.001,19,-261.5384884143099,130,11182.0
learning_rates,0.001,20,-263.3793448154211,138,11182.0
learning_rates,0.001,21,-204.03659173787065,196,11182.0
learning_rates,0.001,22,-258.4457750820991,107,11182.0
learning_rates,0.001,23,-264.67454772040367,185,11182.0
learning_rates,0.001,24,-53.01644565234244,113,11182.0
learning_rates,0.001,25,-223.15363789475686,176,11182.0
learning_rates,0.001,26,-364.1968030691726,117,11182.0
learning_rates,0.001,27,-190.42003650810346,180,11182.0
learning_rates,0.001,28,-464.7323096984456,245,11182.0
learning_rates,0.001,29,-477.52451669757386,330,11182.0
learning_rates,0.001,30,-303.17806878933305,247,11182.0
learning_rates,0.001,31,-211.69238410580152,107,11182.0
learning_rates,0.001,32,-260.8125685711268,185,11182.0
learning_rates,0.001,33,-880.1054138718534,387,11182.0
learning_rates,0.001,34,-158.59996058606106,100,11182.0
learning_rates,0.001,35,-220.1976952276034,220,11182.0
learning_rates,0.001,36,-344.641171642521,199,11182.0
