Experiment,Val,Trial,Reward,Steps,RunTime
learning_rates,0.01,0,-104.2675491049435,62,9248.0
learning_rates,0.01,1,-255.5107155419308,92,9248.0
learning_rates,0.01,2,-294.9805568257235,133,9248.0
learning_rates,0.01,3,-205.25363241423707,95,9248.0
learning_rates,0.01,4,-138.3351572052484,262,9248.0
learning_rates,0.01,5,-199.77807321996528,676,9248.0
learning_rates,0.01,6,-197.8708532763737,180,9248.0
learning_rates,0.01,7,-155.21463537653386,114,9248.0
learning_rates,0.01,8,-257.51974624560546,158,9248.0
learning_rates,0.01,9,-236.7621732046203,209,9248.0
learning_rates,0.01,10,-253.04272590606905,128,9248.0
learning_rates,0.01,11,-132.25831970697385,957,9248.0
learning_rates,0.01,12,-163.29285916240872,132,9248.0
learning_rates,0.01,13,-142.96006377256617,364,9248.0
learning_rates,0.01,14,-196.3178524442024,144,9248.0
learning_rates,0.01,15,-238.80617187526042,277,9248.0
learning_rates,0.01,16,-217.9768522844597,210,9248.0
learning_rates,0.01,17,-257.9264993718057,921,9248.0
learning_rates,0.01,18,-6.3037207809658184,254,9248.0
learning_rates,0.01,19,-147.81515613670166,305,9248.0
learning_rates,0.01,20,-368.1677604916078,307,9248.0
learning_rates,0.01,21,-221.03003304995343,214,9248.0
learning_rates,0.01,22,-377.54171497260717,292,9248.0
learning_rates,0.01,23,-188.1999468328349,222,9248.0
learning_rates,0.01,24,-219.40090606312242,274,9248.0
learning_rates,0.01,25,-203.81430424525553,198,9248.0
learning_rates,0.01,26,-210.30161881424146,269,9248.0
learning_rates,0.01,27,-161.5535828789827,133,9248.0
learning_rates,0.01,28,-229.15477283259608,215,9248.0
learning_rates,0.01,29,-199.22061562034256,126,9248.0
learning_rates,0.01,30,-445.19375417649746,178,9248.0
learning_rates,0.01,31,-225.27793945730065,743,9248.0
learning_rates,0.01,32,-348.43939539933035,383,9248.0
learning_rates,0.01,33,-270.37250444554513,780,9248.0
learning_rates,0.01,34,-171.55816993001952,302,9248.0
learning_rates,0.01,35,-160.5678437097656,392,9248.0
learning_rates,0.01,36,-125.80460227878173,379,9248.0
learning_rates,0.01,37,-138.97158436412255,335,9248.0
learning_rates,0.01,38,-223.86548175019516,396,9248.0
learning_rates,0.01,39,-67.07386390055044,464,9248.0
learning_rates,0.01,40,-310.56363321880906,556,9248.0
learning_rates,0.01,41,-7.902497205816181,1000,9248.0
learning_rates,0.01,42,-101.06789952023777,422,9248.0
learning_rates,0.01,43,-163.6233628611119,301,9248.0
learning_rates,0.01,44,-267.3435237730379,341,9248.0
learning_rates,0.01,45,-212.9032150292119,305,9248.0
