Experiment,Val,Trial,Reward,Steps,RunTime
batch_sizes,256,0,-218.18645604367782,114,10616.0
batch_sizes,256,1,-405.8634332174224,75,10616.0
batch_sizes,256,2,-301.8536268039709,101,10616.0
batch_sizes,256,3,-575.7978919188481,161,10616.0
batch_sizes,256,4,-139.6158378268432,1000,10616.0
batch_sizes,256,5,-166.7500089572996,118,10616.0
batch_sizes,256,6,-278.16842954719993,160,10616.0
batch_sizes,256,7,-386.43671812661586,173,10616.0
batch_sizes,256,8,-507.77627753512536,174,10616.0
batch_sizes,256,9,-335.4017335147168,101,10616.0
batch_sizes,256,10,-403.30523008860325,125,10616.0
batch_sizes,256,11,-9.138440964350025,132,10616.0
batch_sizes,256,12,-122.13041547554474,158,10616.0
batch_sizes,256,13,-338.1404661313908,169,10616.0
batch_sizes,256,14,-279.0699856861239,154,10616.0
batch_sizes,256,15,-519.8549705663427,411,10616.0
batch_sizes,256,16,-538.0869508397044,87,10616.0
batch_sizes,256,17,-217.95833615131215,514,10616.0
batch_sizes,256,18,-176.04674381590652,241,10616.0
batch_sizes,256,19,-261.101935996336,315,10616.0
batch_sizes,256,20,-165.7532255160877,301,10616.0
batch_sizes,256,21,-264.3184881743158,244,10616.0
batch_sizes,256,22,-302.063468795158,452,10616.0
batch_sizes,256,23,-70.09657218502386,356,10616.0
batch_sizes,256,24,-156.76121842586122,201,10616.0
batch_sizes,256,25,-370.4348289112163,589,10616.0
batch_sizes,256,26,-403.6237970638545,524,10616.0
batch_sizes,256,27,-216.61538394302949,158,10616.0
batch_sizes,256,28,-296.82891953581657,402,10616.0
batch_sizes,256,29,-100.95342156984496,530,10616.0
batch_sizes,256,30,-46.28062145584563,296,10616.0
batch_sizes,256,31,-309.2128735775657,287,10616.0
batch_sizes,256,32,-175.00072565480718,646,10616.0
batch_sizes,256,33,-145.51379020477367,473,10616.0
batch_sizes,256,34,-152.15870212102752,301,10616.0
batch_sizes,256,35,-35.8486275520778,406,10616.0
batch_sizes,256,36,-112.82864496897723,415,10616.0
batch_sizes,256,37,-183.37013665958412,636,10616.0
batch_sizes,256,38,-369.73030587923495,179,10616.0
batch_sizes,256,39,-231.62355752281556,355,10616.0
batch_sizes,256,40,-259.2622317272527,395,10616.0
batch_sizes,256,41,-29.17726754768375,1000,10616.0
batch_sizes,256,42,-271.04755456364194,591,10616.0
batch_sizes,256,43,-238.63213443857254,745,10616.0
batch_sizes,256,44,-183.2132899589314,676,10616.0
batch_sizes,256,45,-31.850239370455824,272,10616.0
batch_sizes,256,46,-26.315756417351786,1000,10616.0
batch_sizes,256,47,-74.53114920729192,482,10616.0
batch_sizes,256,48,-285.7980679002363,697,10616.0
batch_sizes,256,49,-120.79123111224442,369,10616.0
batch_sizes,256,50,-237.16185788152615,285,10616.0
batch_sizes,256,51,-227.06058921307567,287,10616.0
batch_sizes,256,52,-312.55594962161956,303,10616.0
batch_sizes,256,53,-129.39288242338117,1000,10616.0
batch_sizes,256,54,-247.58960508687355,345,10616.0
batch_sizes,256,55,-360.96033580294,445,10616.0
batch_sizes,256,56,-32.48243330348707,272,10616.0
batch_sizes,256,57,-173.72843557030126,394,10616.0
batch_sizes,256,58,-159.0846539201472,566,10616.0
batch_sizes,256,59,-97.81716916585893,588,10616.0
batch_sizes,256,60,-152.08049486420387,786,10616.0
batch_sizes,256,61,-168.20280418951444,277,10616.0
batch_sizes,256,62,-72.4012795941312,325,10616.0
batch_sizes,256,63,6.561362067182267,1000,10616.0
batch_sizes,256,64,75.64835438555373,1000,10616.0
